trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,True,"{'a': 0.01, 'e': 0.0}",25,11,25.19634780123603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0.01, 'e': 0.0}",20,10,16.21703420408925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.01, 'e': 0.0}",25,17,15.896934405552303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0.01, 'e': 0.0}",25,14,20.23165738956609,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.01, 'e': 0.0}",25,14,17.98185488795245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0.01, 'e': 0.0}",20,14,11.62207677206798,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.01, 'e': 0.0}",20,11,19.22867046706163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.01, 'e': 0.0}",20,10,16.557856716021718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0.01, 'e': 0.0}",25,12,27.034889989384826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.01, 'e': 0.0}",30,18,23.157273394512004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.01, 'e': 0.0}",25,13,23.449173867890934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.01, 'e': 0.0}",20,14,13.281909420020577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.01, 'e': 0.0}",20,12,15.063092388370794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.01, 'e': 0.0}",30,16,27.959680659341693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.01, 'e': 0.0}",20,13,11.9460203167056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.01, 'e': 0.0}",20,10,9.543798129080244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.01, 'e': 0.0}",20,7,25.283382091143565,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.01, 'e': 0.0}",30,18,23.387326559018394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.01, 'e': 0.0}",25,15,17.44324066267164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.01, 'e': 0.0}",25,15,19.214744069712516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.01, 'e': 0.0}",20,15,9.83343732516622,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.01, 'e': 0.0}",20,5,29.002754344135145,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0.01, 'e': 0.0}",25,15,16.705742068607567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.01, 'e': 0.0}",25,14,18.734962344743387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.01, 'e': 0.0}",20,9,21.707764731051068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.01, 'e': 0.0}",20,14,10.467383806216676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.01, 'e': 0.0}",20,10,21.785907385294202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.01, 'e': 0.0}",25,0,35.23649282082283,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.01, 'e': 0.0}",25,18,15.399335263049004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0.01, 'e': 0.0}",25,11,26.340983027301753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.01, 'e': 0.0}",20,13,9.901890727907418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.01, 'e': 0.0}",20,5,28.37481791353803,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.01, 'e': 0.0}",25,14,21.580635381218702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.01, 'e': 0.0}",25,19,12.10118842373901,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0.01, 'e': 0.0}",30,20,19.46810087351051,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0.01, 'e': 0.0}",30,19,23.15514130017767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0.01, 'e': 0.0}",20,7,23.736605031732726,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.01, 'e': 0.0}",25,8,29.684970859789335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.01, 'e': 0.0}",30,24,11.791793712227808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.01, 'e': 0.0}",35,24,20.60842365516998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0.01, 'e': 0.0}",20,13,14.068164040517491,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0.01, 'e': 0.0}",25,18,11.8043040660086,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0.01, 'e': 0.0}",20,11,17.575279118022944,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0.01, 'e': 0.0}",20,12,15.617845792357805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0.01, 'e': 0.0}",30,18,22.00110127166521,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0.01, 'e': 0.0}",30,15,26.884047260323324,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
