trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-94.17966512558819,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-152.53606308432208,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,8,-81.77950802873991,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",25,0,-86.9870146527871,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",35,15,-19.93861356153625,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",35,0,-115.16255530724479,"{0: 23, 1: 7, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,0,-118.21499014454434,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-32.576765721997845,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",25,0,-159.60279432342185,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-116.95017275895526,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-35.298910025998595,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",35,0,-175.37096663803587,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-31.941847759780153,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",35,9,-16.34915518445708,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-118.49891737834882,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-137.08110095123016,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,17,-2.3949601940486756,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-162.64804223328156,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,13,-45.40930770080577,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-96.81010832903783,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-74.39507531817594,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-9.214701791510652,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,12,-77.94341651889647,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,2,-60.19557572004475,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,2,-136.12991731713979,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 2}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,8,-17.475978112444782,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,5,-64.47182613710241,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,16,4.966995259707078,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-11.770460419086763,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,0,-106.17108008875454,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,7,-117.04290112917089,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,0,-132.66642883359276,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",25,0,1.0372525121290916,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-35.485358031645866,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,16,-24.206218905178822,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-57.67020020315266,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,0,-31.482910274599206,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,-25.27524585229246,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,3,-49.87139996034568,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,9,-7.745818129092648,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,6,-71.28711311535095,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,8.868977072293857,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,15,1.2426238291108753,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,17,6.01844720747321,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,21,8.401866424693292,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,7,-54.18416233951448,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,8,9.640010205129485,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,0,-8.782952289649481,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,4,-3.3486483840139547,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,17,3.1126544614880975,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,17,4.563041489914931,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,13,0.5888801606859462,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,6,3.724951192912725,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,12,-36.22239833314325,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,11,1.7965434000010791,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",35,1,28.724880859051282,"{0: 31, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,10,-23.02537126562756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",35,1,-25.06455622933175,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,0,12.835737305774405,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,13,-36.51220106018073,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-44.73728062346803,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,11,-21.103846537609115,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,9,-17.23920652539928,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,3,-23.272740733129794,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,11,23.89158573567429,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,8,7.510487557604156,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,3,29.00235362502666,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,19,10.14313590819944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,7,17.81404193069782,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",30,15,19.153793526390043,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,9,10.859501101401136,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
